Criptomoneda,Precio,Fecha,Horas,Minutos,Segundos
TRXUSDT,0.12513,2024-02-12,19,8,57
BTCUSDT,49906.76,2024-02-12,19,9,27
ETHUSDT,2639.35,2024-02-12,19,9,27
TRXUSDT,0.12514,2024-02-12,19,9,27
BTCUSDT,49901.11,2024-02-12,19,9,57
ETHUSDT,2638.63,2024-02-12,19,9,57
TRXUSDT,0.12513,2024-02-12,19,9,57
BTCUSDT,49880.0,2024-02-12,19,10,28
ETHUSDT,2638.44,2024-02-12,19,10,28
TRXUSDT,0.12511,2024-02-12,19,10,28
BTCUSDT,49879.99,2024-02-12,19,10,58
ETHUSDT,2636.36,2024-02-12,19,10,58
TRXUSDT,0.12514,2024-02-12,19,10,58
BTCUSDT,49897.7,2024-02-12,19,11,29
ETHUSDT,2637.23,2024-02-12,19,11,29
TRXUSDT,0.12518,2024-02-12,19,11,29
BTCUSDT,49904.5,2024-02-12,19,11,59
ETHUSDT,2638.21,2024-02-12,19,11,59
TRXUSDT,0.12524,2024-02-12,19,11,59
BTCUSDT,49922.55,2024-02-12,19,12,30
ETHUSDT,2639.45,2024-02-12,19,12,30
TRXUSDT,0.12528,2024-02-12,19,12,30
BTCUSDT,49919.01,2024-02-12,19,13,0
ETHUSDT,2639.99,2024-02-12,19,13,0
TRXUSDT,0.1253,2024-02-12,19,13,0
BTCUSDT,49926.0,2024-02-12,19,13,31
ETHUSDT,2639.99,2024-02-12,19,13,31
TRXUSDT,0.12527,2024-02-12,19,13,31
BTCUSDT,49930.09,2024-02-12,19,14,1
ETHUSDT,2639.4,2024-02-12,19,14,1
TRXUSDT,0.12526,2024-02-12,19,14,1
BTCUSDT,49933.79,2024-02-12,19,14,32
ETHUSDT,2639.71,2024-02-12,19,14,32
TRXUSDT,0.12525,2024-02-12,19,14,32
BTCUSDT,49938.0,2024-02-12,19,15,2
ETHUSDT,2639.7,2024-02-12,19,15,2
TRXUSDT,0.12525,2024-02-12,19,15,2
BTCUSDT,49930.88,2024-02-12,19,15,33
ETHUSDT,2638.92,2024-02-12,19,15,33
TRXUSDT,0.12527,2024-02-12,19,15,33
BTCUSDT,49930.87,2024-02-12,19,16,3
ETHUSDT,2639.5,2024-02-12,19,16,3
TRXUSDT,0.12526,2024-02-12,19,16,3
BTCUSDT,49930.87,2024-02-12,19,16,34
ETHUSDT,2640.45,2024-02-12,19,16,34
TRXUSDT,0.12527,2024-02-12,19,16,34
BTCUSDT,49930.06,2024-02-12,19,17,4
ETHUSDT,2640.72,2024-02-12,19,17,4
TRXUSDT,0.1253,2024-02-12,19,17,4
BTCUSDT,49928.78,2024-02-12,19,17,34
ETHUSDT,2640.72,2024-02-12,19,17,34
TRXUSDT,0.1253,2024-02-12,19,17,34
BTCUSDT,49928.77,2024-02-12,19,18,5
ETHUSDT,2640.7,2024-02-12,19,18,5
TRXUSDT,0.1253,2024-02-12,19,18,5
BTCUSDT,49950.0,2024-02-12,19,18,35
ETHUSDT,2641.99,2024-02-12,19,18,35
TRXUSDT,0.1253,2024-02-12,19,18,35
BTCUSDT,49957.69,2024-02-12,19,19,6
ETHUSDT,2642.55,2024-02-12,19,19,6
TRXUSDT,0.1253,2024-02-12,19,19,6
BTCUSDT,49975.93,2024-02-12,19,19,36
ETHUSDT,2642.8,2024-02-12,19,19,36
TRXUSDT,0.1253,2024-02-12,19,19,36
BTCUSDT,50003.14,2024-02-12,19,20,6
ETHUSDT,2643.99,2024-02-12,19,20,6
TRXUSDT,0.12531,2024-02-12,19,20,6
BTCUSDT,49986.78,2024-02-12,19,20,37
ETHUSDT,2642.4,2024-02-12,19,20,37
TRXUSDT,0.1253,2024-02-12,19,20,37
BTCUSDT,49995.98,2024-02-12,19,21,7
ETHUSDT,2642.41,2024-02-12,19,21,7
TRXUSDT,0.12527,2024-02-12,19,21,7
BTCUSDT,50005.99,2024-02-12,19,21,38
ETHUSDT,2643.95,2024-02-12,19,21,38
TRXUSDT,0.12528,2024-02-12,19,21,38
BTCUSDT,50158.79,2024-02-12,22,13,29
ETHUSDT,2665.76,2024-02-12,22,13,29
TRXUSDT,0.12518,2024-02-12,22,13,29
BTCUSDT,50164.95,2024-02-12,22,13,59
ETHUSDT,2665.82,2024-02-12,22,13,59
TRXUSDT,0.12518,2024-02-12,22,13,59
BTCUSDT,50157.2,2024-02-12,22,14,30
ETHUSDT,2665.49,2024-02-12,22,14,30
TRXUSDT,0.12517,2024-02-12,22,14,30
BTCUSDT,50157.21,2024-02-12,22,15,1
ETHUSDT,2666.86,2024-02-12,22,15,1
TRXUSDT,0.12516,2024-02-12,22,15,1
BTCUSDT,50154.62,2024-02-12,22,15,31
ETHUSDT,2667.81,2024-02-12,22,15,31
TRXUSDT,0.12517,2024-02-12,22,15,31
BTCUSDT,50123.95,2024-02-12,22,16,1
ETHUSDT,2667.39,2024-02-12,22,16,1
TRXUSDT,0.12516,2024-02-12,22,16,1
BTCUSDT,50123.69,2024-02-12,22,16,32
ETHUSDT,2667.8,2024-02-12,22,16,32
TRXUSDT,0.12514,2024-02-12,22,16,32
BTCUSDT,50130.0,2024-02-12,22,17,3
ETHUSDT,2668.45,2024-02-12,22,17,3
TRXUSDT,0.12514,2024-02-12,22,17,3
BTCUSDT,50116.23,2024-02-12,22,17,33
ETHUSDT,2666.5,2024-02-12,22,17,33
TRXUSDT,0.12509,2024-02-12,22,17,33
BTCUSDT,50092.88,2024-02-12,22,18,4
ETHUSDT,2666.01,2024-02-12,22,18,4
TRXUSDT,0.12509,2024-02-12,22,18,4
BTCUSDT,50076.0,2024-02-12,22,18,34
ETHUSDT,2665.88,2024-02-12,22,18,34
TRXUSDT,0.1251,2024-02-12,22,18,34
BTCUSDT,50060.72,2024-02-12,22,19,5
ETHUSDT,2665.57,2024-02-12,22,19,5
TRXUSDT,0.12509,2024-02-12,22,19,5
BTCUSDT,50064.39,2024-02-12,22,19,35
ETHUSDT,2665.89,2024-02-12,22,19,35
TRXUSDT,0.12509,2024-02-12,22,19,35
BTCUSDT,50070.0,2024-02-12,22,20,6
ETHUSDT,2665.88,2024-02-12,22,20,6
TRXUSDT,0.12509,2024-02-12,22,20,6
BTCUSDT,50099.07,2024-02-12,22,20,36
ETHUSDT,2667.41,2024-02-12,22,20,36
TRXUSDT,0.12514,2024-02-12,22,20,36
BTCUSDT,50080.15,2024-02-12,22,21,7
ETHUSDT,2667.41,2024-02-12,22,21,7
TRXUSDT,0.12515,2024-02-12,22,21,7
BTCUSDT,50085.98,2024-02-12,22,21,37
ETHUSDT,2668.51,2024-02-12,22,21,37
TRXUSDT,0.12515,2024-02-12,22,21,37
